ID,Title,Year,Age,IMDb,Rotten Tomatoes,Runtime
479,Time Trap,2017,18+,6.5,60%,87
480,Final Destination 2,2003,18+,6.2,48%,90
481,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,,7.1,100%,74
482,Dance Academy: The Movie,2017,,7,100%,101
483,White Fang,2018,7+,6.9,88%,107
484,All the Bright Places,2020,18+,6.5,68%,107
485,Elena,2013,,7.6,85%,109
486,Underworld: Rise of the Lycans,2009,18+,6.6,30%,92
487,Talaash,2012,,7.2,80%,140
488,Kevin Hart: Laugh at My Pain,2011,18+,7.4,71%,89
489,Gridiron Gang,2006,13+,6.9,43%,125
490,Hot Rod,2007,13+,6.7,39%,88
491,Bee Movie,2007,7+,6.1,50%,91
492,Trash,2014,18+,7.2,66%,114
493,The Photographer of Mauthausen,2018,18+,6.7,83%,110
494,He's Just Not That Into You,2009,13+,6.4,41%,129
495,Forks Over Knives,2011,7+,7.7,59%,96
496,Bandits,2001,13+,6.5,64%,123
497,Sanju,2018,,7.8,50%,155
498,Blame!,2017,13+,6.7,82%,106
499,Quincy,2018,18+,7.6,81%,60
500,DragonHeart,1996,13+,6.5,50%,103
501,Bad Day for the Cut,2017,,6.5,92%,99
502,We the Animals,2018,18+,6.9,93%,94
503,Soul Surfer,2011,7+,7,45%,112
504,Rocko's Modern Life: Static Cling,2019,7+,7,91%,45
505,Haywire,2011,18+,5.8,80%,93
506,Pink,2016,,8.1,100%,136
507,Stuart Little,1999,7+,5.9,67%,84
508,Cutie and the Boxer,2013,18+,7.2,95%,82
509,The World Is Yours,2018,18+,6.4,100%,102
510,Berlin Syndrome,2017,18+,6.3,75%,116
511,Furie,2019,18+,5.8,95%,134
512,Big Miracle,2012,7+,6.5,75%,107
513,Tramps,2016,,6.5,95%,82
514,Parmanu: The Story of Pokhran,2018,,7.7,50%,129
515,Kursk,2018,13+,6.6,69%,117
516,Deep Impact,1998,13+,6.2,45%,120
517,The Kindergarten Teacher,2018,,6.7,89%,96
518,Stonehearst Asylum,2014,13+,6.8,54%,112
519,"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,18+,7.8,88%,
520,The Wandering Earth,2019,13+,6,75%,125
521,Bon Cop Bad Cop,2006,13+,6.8,78%,116
522,Melvin Goes to Dinner,2003,18+,6.8,100%,83
523,Chappaquiddick,2018,13+,6.5,81%,106
524,Miles Davis: Birth of the Cool,2019,,7.4,93%,115
525,Mission Control: The Unsung Heroes of Apollo,2017,7+,7.5,100%,101
526,Dukhtar,2014,7+,7,93%,93
527,Red Dawn,1984,13+,6.4,46%,114
