ID,Title,Year,Age,IMDb,Rotten Tomatoes,Runtime
5453,My Favorite Season,1993,,7.1,92%,127
5454,Number 37,2018,,6.3,100%,100
5455,Japanese Story,2003,18+,6.7,68%,110
5456,Tortilla Soup,2001,13+,6.7,74%,102
5457,Friday the 13th Part 2,1981,18+,6.1,28%,87
5458,The Reef,2010,18+,5.8,79%,94
5459,Some Freaks,2016,,6.2,92%,97
5460,Theeran Adhigaaram Ondru,2017,18+,8.3,,157
5461,Wreckers,2011,18+,6,92%,85
5462,Look Both Ways,2005,13+,7,75%,100
5463,William S. Burroughs: A Man Within,2010,,7.2,88%,87
5464,Knightriders,1981,18+,6.3,77%,146
5465,Sheikh Jackson,2017,,7,75%,93
5466,What Richard Did,2012,18+,6.3,91%,88
5467,Inside the Rain,2020,,4.1,88%,90
5468,Valley Uprising,2014,,8.1,,103
5469,Birds Without Names,2017,,6.6,100%,123
5470,All About Them,2015,,6.3,100%,86
5471,Men at Work,2006,,6.5,100%,30
5472,Terror by Night,1946,,6.9,75%,60
5473,Jigarthanda,2014,13+,8.3,,171
5474,My Way,2012,,6.9,83%,137
5475,Crossing Arizona,2006,,8,100%,77
5476,Back to Burgundy,2017,,6.9,72%,113
5477,The Perfect Game,2010,7+,6.9,57%,118
5478,Dil To Pagal Hai,1997,all,7,,179
5479,"Lovely, Still",2008,7+,7.1,73%,92
5480,Ta Ra Rum Pum,2007,all,5.6,50%,153
5481,Braid,2019,18+,5.3,87%,82
5482,Buzzard,2015,,6.4,87%,97
5483,A Dark Place,2019,,6.2,52%,89
5484,Finding Mr. Right,2013,13+,6.4,86%,121
5485,The Whole Gritty City,2013,,7.8,100%,89
5486,Estranged,2015,,5.4,100%,101
5487,Hitting the Apex,2015,,8.4,,138
5488,Woman Walks Ahead,2018,18+,6.6,53%,101
5489,The Horse Boy,2009,,7.3,75%,93
5490,Twice Born,2012,18+,7.4,17%,127
5491,"Empathy, Inc.",2018,,4.9,85%,97
5492,In the Name of...,2013,,6.6,77%,
5493,Angel and the Badman,1947,,6.9,71%,100
5494,Bright Days Ahead,2013,,6.3,87%,94
5495,Her Composition,2015,,5.3,100%,93
5496,Wal-Mart: The High Cost of Low Price,2005,,6.8,93%,98
5497,The Possession,2012,13+,5.9,40%,92
5498,The Country Teacher,2008,,6.9,81%,117
5499,Mohabbatein,2000,7+,7.1,,216
5500,The Flying Deuces,1939,,6.9,83%,69
5501,The Divine Order,2017,,7,83%,96
5502,Africa: The Serengeti,1994,,7.3,100%,39
5503,Mia madre,2015,18+,6.8,84%,106
5504,Vampire Circus,1972,7+,6.4,80%,87
5505,Examined Life,2008,,7,77%,87
5506,Shadow Company,2006,,7.7,86%,86
5507,The Day of the Triffids,1962,,6.2,76%,93
5508,Absurdistan,2008,,6.8,83%,84
5509,The Moustache,2005,all,6.7,86%,87
5510,Entre Nos,2009,,7.3,83%,90
5511,Cecil B. Demented,2000,18+,6.3,53%,87
5512,The Red House,1947,,6.8,80%,100
5513,Tideland,2005,18+,6.5,31%,120
5514,Lost in Paris,2017,,6.2,86%,83
5515,Species,1995,18+,5.8,43%,108
5516,Manifesto,2015,,6.6,76%,60
5517,City of the Living Dead,1980,,6.3,50%,93
5518,Halston,2019,,6.6,76%,
5519,Home Again,2017,13+,5.8,32%,97
5520,The Samurai,2014,,5.7,100%,105
5521,The Good Postman,2016,,7.3,100%,80
5522,I Am Another You,2017,,7.2,94%,80
5523,Dhoom,2004,7+,6.7,,129
5524,The Double Hour,2009,,6.7,82%,95
5525,Pandemic,2016,13+,4.4,44%,91
5526,Nobody's Watching,2017,18+,6.6,89%,102
5527,My Name Is Emily,2016,,6.6,89%,94
5528,Cherry,2010,18+,6.7,64%,
5529,Rampart,2011,18+,5.8,74%,47
5530,Ping Pong,2012,,7.3,95%,114
5531,Once I Was a Beehive,2015,7+,6.2,75%,119
5532,Sister Helen,2002,,7.8,92%,90
5533,War Don Don,2010,,7.2,100%,83
5534,Romero,1989,13+,7.1,78%,102
5535,Top Knot Detective,2017,,6.3,100%,87
5536,Girl Asleep,2015,18+,6.2,81%,77
5537,The Ninth Day,2004,,7.1,78%,98
5538,Five Fingers for Marseilles,2018,,6.1,76%,120
5539,Shottas,2002,18+,6.2,19%,95
5540,Holy Air,2017,,6.5,100%,81
5541,Saint Jack,1979,18+,7,67%,112
5542,The Golden Child,1986,13+,6,26%,94
5543,Hal,2019,,6.9,90%,60
5544,Last Call at the Oasis,2011,13+,7.4,81%,105
5545,Stella Maris,1918,,6.7,86%,84
5546,Edge Codes.com: The Art of Motion Picture Editing,2004,,6.8,100%,75
5547,The Sunset Limited,2011,18+,7.4,,91
5548,Django,2017,13+,6.3,61%,165
5549,Nancy,2018,,6.2,86%,85
5550,Love Liza,2002,18+,7,53%,90
5551,Kaante,2002,18+,6.6,83%,150
5552,The Unloved,2009,,6.8,94%,106
5553,The Blood Spattered Bride,1972,18+,6.2,100%,100
5554,After the Fox,1966,,6.5,75%,103
5555,The Suicide Theory,2015,18+,6.5,79%,98
5556,Lady Jane,1986,13+,7.1,50%,136
5557,Thirst,1979,18+,5.8,100%,134
5558,Skeletons,2010,,6.8,82%,94
5559,Joe,1970,18+,6.8,80%,117
5560,Pin Cushion,2018,,6.5,90%,82
5561,Black Sunday,1977,18+,6.8,69%,87
5562,Upside Down,2012,13+,6.4,28%,109
5563,Doomed! The Untold Story of Roger Corman's The Fantastic Four,2015,,6.9,86%,85
5564,Diverge,2016,16+,4.5,100%,85
5565,Baarìa,2009,,6.9,55%,163
5566,Poor Boy's Game,2007,18+,6.4,83%,104
5567,That Guy Dick Miller,2014,,7.4,80%,91
5568,Till the Clouds Roll By,1946,,6.4,100%,132
5569,Hyena Road,2015,18+,6.5,55%,120
5570,Sukiyaki Western Django,2007,18+,6.2,56%,121
5571,The Forest for the Trees,2004,,7.2,77%,162
5572,Under the Bombs,2007,16+,7,80%,98
5573,Hired Gun,2017,,7.1,50%,98
5574,Mary Goes Round,2018,13+,6.8,89%,84
5575,Food Chains,2014,,7.2,91%,83
5576,Planet of the Vampires,1965,,6.3,73%,88
5577,Bedevilled,2010,,7.3,,115
5578,One Week and a Day,2016,,6.7,90%,98
5579,This Is Where We Live,2013,,7.7,88%,92
5580,The Mechanic,1972,7+,6.9,33%,93
5581,The Front Page,1931,7+,6.7,92%,101
5582,Salute,2008,,7.6,100%,84
5583,Wolf Creek 2,2013,,6.1,49%,106
5584,Computer Chess,2013,,6.3,88%,92
5585,Transpecos,2016,,5.8,91%,86
5586,Winter Brothers,2017,16+,6.5,91%,94
5587,Dalida,2016,7+,6.9,40%,127
5588,Catch Me Daddy,2015,18+,6.3,92%,112
5589,Bharat Ane Nenu,2018,,7.7,100%,173
5590,Adore,2013,18+,6.2,34%,112
5591,A Syrian Love Story,2015,,7,92%,76
5592,Nicholas and Alexandra,1971,7+,7.2,67%,183
5593,LBJ,2017,18+,6.5,57%,98
5594,Freestyle: The Art of Rhyme,2000,,7.6,89%,60
5595,Dolemite,1975,18+,5.8,64%,118
5596,Crime After Crime,2011,,7.6,91%,
5597,Embers,2015,,5.4,86%,204
5598,People's Republic of Desire,2018,,6.8,97%,95
5599,Witnesses,2003,,6.8,90%,52
5600,The Sisterhood of Night,2015,13+,6.2,80%,104
5601,Not Suitable For Children,2012,18+,5.8,88%,97
5602,Father's Day,2011,18+,6,80%,120
5603,Sex & Drugs & Rock & Roll,2010,18+,6.6,73%,21
5604,Il Mare,2000,,7.6,,99
5605,Storm,2009,,6.9,82%,140
5606,Tiger Orange,2014,,6.6,100%,75
5607,Baazigar,1993,13+,7.7,,175
5608,Aruvi,2017,,8.6,,130
5609,Duckweed,2017,,6.4,83%,102
5610,Gabriel,2014,,6.4,84%,114
5611,The Dentist,1932,,6.8,100%,92
5612,Head Games,2012,13+,7.3,88%,80
5613,Churchill,2017,7+,6.2,49%,105
5614,Garbo: The Spy,2009,,7.2,86%,88
5615,Ju Dou,1990,13+,7.7,100%,95
5616,Newton,2017,,7.7,91%,106
5617,The Foot Fist Way,2006,18+,6.3,54%,85
5618,The Dark Valley,2014,,7.1,40%,115
5619,Our Time Will Come,2017,13+,6.4,94%,130
5620,Shock Wave,2017,,6.3,75%,119
5621,Final Score,2018,18+,5.7,70%,104
5622,Pet,2016,18+,5.7,56%,94
5623,Rangasthalam,2018,13+,8.4,,170
5624,Pathology,2008,18+,6,45%,95
5625,Shooting Fish,1997,7+,6.6,57%,109
5626,Parkland,2013,13+,6.3,50%,93
5627,Arjun Reddy,2017,18+,8.2,,173
5628,Trash Dance,2012,,7.5,100%,68
5629,A Man of No Importance,1994,18+,6.7,86%,99
5630,Hideous Kinky,1998,18+,6,65%,98
5631,The Levelling,2017,18+,6.4,94%,83
5632,Don't Kill It,2016,,5.2,92%,83
5633,Some Guy Who Kills People,2011,18+,6.4,80%,97
5634,Good Dick,2008,18+,6.4,50%,86
5635,A Monster with a Thousand Heads,2016,,6.5,90%,74
5636,Murder!,1930,13+,6.4,88%,104
5637,The Keeping Room,2014,18+,6,75%,95
5638,Pop Aye,2017,,6.6,91%,104
5639,Bedrooms and Hallways,1998,,6.6,69%,92
5640,"Hale County This Morning, This Evening",2018,,6.3,97%,76
5641,Obey,2018,,5.4,100%,96
5642,100 Bloody Acres,2012,18+,6,79%,91
5643,George Carlin: Back in Town,1996,,8.7,,60
5644,B.B. King: The Life of Riley,2012,,7.4,86%,123
5645,Chasing the Dragon,2017,,6.8,50%,128
5646,Francofonia,2015,,6.6,87%,88
5647,Madeline's Madeline,2018,,6.4,88%,93
5648,Zarafa,2012,7+,7,75%,78
5649,Goya's Ghosts,2006,18+,6.9,30%,113
5650,Yu-Gi-Oh!: The Dark Side of Dimensions,2016,7+,7,40%,130
5651,The Poker House,2008,18+,6.4,57%,93
5652,Wonder Wheel,2017,13+,6.2,32%,101
5653,Uzumasa Limelight,2014,,6,90%,103
5654,Fugitive Pieces,2007,18+,7,68%,104
5655,Sister My Sister,1994,18+,6.6,63%,89
5656,All This Panic,2017,16+,6.8,94%,79
5657,De-Lovely,2004,13+,6.6,48%,125
5658,Will Ferrell: You're Welcome America - A Final Night with George W. Bush,2009,,7.1,60%,115
5659,Scaffolding,2018,,6.8,82%,90
5660,Afternoon Delight,2013,18+,5.7,67%,98
5661,Author: The JT LeRoy Story,2016,18+,7.1,78%,110
5662,Time Regained,1999,,6.7,70%,169
5663,My Favorite Brunette,1947,,6.8,71%,87
5664,Gringo,2018,18+,6.1,40%,111
5665,The Last Movie Star,2018,18+,6.9,54%,94
5666,Cuban Fury,2014,18+,6.2,54%,98
5667,Body Bags,1993,18+,6.1,67%,91
5668,Trench 11,2017,,5.3,92%,90
5669,Gone in 60 Seconds,1974,7+,6.5,43%,118
5670,Super High Me,2007,18+,6.1,63%,94
5671,1:54,2016,,6.6,57%,106
5672,Barbershop 2: Back in Business,2004,13+,5.7,68%,106
5673,Noble,2014,13+,6.8,82%,100
5674,The Greatest Story Ever Told,1965,all,6.6,41%,260
5675,Downriver,2015,18+,6.2,90%,99
5676,Southwest of Salem: The Story of the San Antonio Four,2016,,7.1,100%,91
5677,Let Her Out,2016,,4.4,89%,89
5678,TransFatty Lives,2015,,8,88%,83
5679,The Summit,2012,18+,6.9,64%,95
5680,Animals,2014,,6.3,85%,109
5681,Hello Destroyer,2016,,6.2,100%,110
5682,George Carlin: Jammin' in New York,1992,,8.7,,59
5683,Ashby,2015,18+,6.4,52%,100
5684,The Bigamist,1953,,6.8,88%,80
5685,Madeinusa,2006,,6.8,83%,100
5686,G-Dog,2012,,6.8,100%,61
5687,Sons of Perdition,2010,18+,6.9,83%,85
5688,Northern Soul,2014,13+,6.4,76%,102
5689,Astraea,2015,,6.6,100%,95
5690,Moll Flanders,1996,13+,6.5,43%,123
5691,"New York, I Love You",2008,18+,6.2,37%,103
5692,Almost Sunrise,2017,13+,7.6,90%,98
5693,Undertow,2004,18+,6.6,55%,71
5694,Left On Purpose,2015,,7.3,88%,85
5695,Thoda Pyaar Thoda Magic,2008,,4.9,88%,145
5696,Four Sheets to the Wind,2007,18+,6.3,100%,81
5697,Our Nixon,2013,,6.7,91%,84
5698,Life of a King,2013,13+,6.9,43%,100
5699,Free and Easy,2017,,6.3,100%,77
5700,Sordid Lives,2000,18+,6.8,37%,111
5701,Something Like Happiness,2005,,7.1,78%,102
5702,Paint Your Wagon,1969,13+,6.6,27%,164
5703,Toomelah,2011,,6.1,100%,106
5704,Future Shock! The Story of 2000AD,2014,,7.2,82%,110
5705,Boston,2017,,7.5,100%,133
5706,Radiant City,2007,,7,94%,93
5707,Winter Kills,1979,18+,6.1,88%,97
5708,Living in the Future's Past,2018,7+,6.5,83%,100
5709,Fear and Desire,1953,,5.5,80%,62
5710,Essential Killing,2010,18+,6.1,77%,83
5711,Honor Flight,2012,7+,8.4,80%,82
5712,40 Years in the Making: The Magic Music Movie,2018,,6.9,100%,99
5713,1,2013,13+,8,,112
5714,Becoming Cary Grant,2017,7+,6.6,86%,85
5715,Sex and Broadcasting,2014,,6.7,100%,76
5716,Indestructible,2007,,7.7,100%,110
5717,Tai Chi Zero,2012,13+,6.1,60%,98
5718,Howl,2015,,5.4,67%,92
5719,Creation,2009,13+,6.7,46%,108
5720,Northanger Abbey,2007,,7.3,,84
5721,The Visual Bible: The Gospel of John,2003,13+,7.7,37%,180
5722,Cardinals,2017,18+,5.5,83%,84
5723,Big Jake,1971,13+,7.2,,110
5724,This Is Martin Bonner,2013,18+,6.5,93%,83
5725,We are Twisted Fucking Sister!,2016,,7.1,80%,135
5726,Free In Deed,2015,,6.5,100%,100
5727,Death Rides a Horse,1967,18+,7.1,40%,120
5728,Q,1982,18+,6,69%,103
5729,Nicky's Family,2011,,7.9,64%,96
5730,A Picture of You,2014,,6.3,100%,83
5731,George Carlin: You Are All Diseased,1999,18+,8.6,,65
5732,Jaane Bhi Do Yaaro,1983,18+,8.4,,132
5733,Night of the Demons,1988,18+,6.2,40%,90
5734,Night Hunter,2019,18+,5.9,14%,98
5735,Boy Wonder,2010,18+,6.8,50%,93
5736,Blue Chips,1994,13+,6.2,37%,108
5737,The Horseman,2008,18+,6.5,59%,90
5738,Jack Frost,1979,all,7,57%,105
5739,Thousand Pieces of Gold,1991,13+,6.9,91%,105
5740,"Pink Ribbons, Inc.",2011,7+,7.2,89%,97
5741,True North,2006,18+,6.9,80%,89
5742,Ganja & Hess,1973,18+,6.2,86%,110
5743,Tropicália,2012,,7.3,80%,87
5744,Sun Ra: A Joyful Noise,1980,,7.3,100%,60
5745,Point and Shoot,2014,,6.8,72%,83
5746,Sold,2016,13+,6.8,56%,94
5747,The Rage in Placid Lake,2003,,6.9,56%,89
5748,Imitation Girl,2017,,4.9,100%,84
5749,Battle for Sevastopol,2015,,7.1,,110
5750,Interview,2007,18+,6.8,58%,105
5751,The Midnight Swim,2015,,5.2,86%,84
5752,The Nightmare,2015,,5.8,67%,91
5753,Kites,2010,13+,6.1,72%,123
5754,The Legend of Rita,2000,,6.9,80%,103
5755,Sunshine State,2002,13+,6.7,80%,141
5756,Louis C.K.: Oh My God,2013,18+,8.4,,58
5757,The Good Neighbor,2016,,6.3,29%,98
5758,Hot House,2007,,7.3,100%,90
5759,The Gruffalo,2009,all,7.5,,27
5760,Pandora's Promise,2013,,7.4,64%,87
5761,Shadows in the Sun,2005,,6.7,43%,100
5762,Pataakha,2018,,7.2,50%,134
5763,Mr. Nice,2010,18+,6.4,53%,121
5764,Willow Creek,2013,,5.1,81%,80
5765,The Culture High,2014,16+,8.2,,120
5766,Gulliver's Travels,1939,all,6.7,67%,85
5767,Tales from the Script,2009,7+,7.1,75%,105
5768,Bride of Re-Animator,1990,18+,6.3,44%,96
5769,The Church,1989,18+,6.2,64%,102
5770,1492: Conquest of Paradise,1992,13+,6.5,32%,154
5771,The 51st State,2001,18+,6.3,26%,93
5772,Urbania,2000,18+,6.8,72%,103
5773,Sufna,2020,,8.2,,144
5774,I Am Belfast,2016,7+,6.6,100%,84
5775,Love & Saucers,2017,,7.4,82%,67
5776,Sirens,1994,18+,5.8,74%,98
5777,Forgiving Dr. Mengele,2006,,6.9,91%,82
5778,Eating Out 2: Sloppy Seconds,2006,,6.2,44%,79
5779,The Second Time Around,2016,,6.6,82%,99
5780,The Heart is Deceitful Above All Things,2004,18+,6.4,41%,98
5781,Goin' South,1978,7+,6.2,71%,105
5782,Support Your Local Gunfighter,1971,all,6.9,62%,91
5783,Double Happiness,1994,13+,7,73%,87
5784,Before I Disappear,2014,,7.2,37%,93
5785,Chisholm '72: Unbought & Unbossed,2004,,7.3,86%,76
5786,The Immaculate Conception of Little Dizzle,2010,18+,6.2,89%,104
5787,Rakka,2017,,7.4,,22
5788,Jallikattu,2019,,7.7,93%,95
5789,GirlHouse,2014,,5.5,73%,99
5790,Captain Kidd,1945,,6.4,100%,90
5791,Campfire,2004,,6.9,88%,96
5792,"Wild Horse, Wild Ride",2012,7+,7.6,81%,106
5793,The Patsy,1964,,6.3,82%,101
5794,Wake Wood,2011,18+,5.5,80%,90
5795,Bodysong,2003,,6.9,80%,83
5796,The Crescent,2018,,4.9,75%,99
5797,Flying Swords of Dragon Gate,2011,18+,6,68%,122
5798,Khakee,2004,18+,7.4,,157
5799,For Those in Peril,2013,,6.4,88%,92
5800,The Greasy Strangler,2016,,5.7,63%,93
5801,The Competition,1980,7+,6.6,71%,123
5802,Our Daily Bread,1934,,7.1,85%,77
5803,Jeff Dunham: Spark of Insanity,2007,13+,8,,80
5804,Little White Lie,2014,,7.2,80%,
5805,True Confessions,1981,18+,6.3,69%,108
5806,Siddharth,2013,all,7.3,90%,96
5807,Paper Man,2009,18+,6.6,32%,110
5808,The Academy of Muses,2015,,6.8,86%,92
5809,Women Who Kill,2016,,5.4,100%,93
5810,The Personals,1998,,7.1,83%,104
5811,Psychomania,1973,7+,5.8,83%,85
5812,Beautiful Darling,2010,,7.3,77%,85
5813,Double Impact,1991,18+,5.6,35%,110
5814,The Stone Roses: Made of Stone,2013,,7.3,76%,97
5815,Bloodsucking Bastards,2015,,5.7,67%,86
5816,Let the Corpses Tan,2017,,6.2,75%,92
5817,Freedom,2009,,7.3,75%,94
5818,I Am Dragon,2015,,6.9,,110
5819,An Occurrence at Owl Creek Bridge,1962,7+,8.1,,28
5820,Dil Bole Hadippa!,2009,13+,4.5,63%,148
5821,Creepshow 2,1987,18+,6.1,32%,92
5822,Lake Tahoe,2008,,6.7,83%,89
5823,Gary Numan: Android In La La Land,2016,,6.9,79%,85
5824,Louisiana Story,1948,,6.7,80%,78
5825,Fists of Legend,2013,,6.8,71%,154
5826,11 Flowers,2012,,7.1,85%,110
5827,The Loveless,1981,18+,6.1,80%,82
5828,Sometimes in April,2005,18+,7.9,,140
5829,Life,2015,18+,6.1,65%,104
5830,Flying Tigers,1942,,6.8,67%,102
5831,We Are Mari Pepa,2013,,7,89%,100
5832,The Road Movie,2017,,6.4,87%,67
5833,The Souvenir,2019,18+,6.5,90%,120
5834,Felix and Meira,2015,18+,6.7,78%,105
5835,Saving Brinton,2017,,7.7,92%,90
5836,Five Corners,1987,18+,6.2,78%,90
5837,Alexandra's Project,2003,,6.5,53%,103
5838,What Still Remains,2018,16+,4.7,90%,92
5839,The Cat's Meow,2001,13+,6.3,75%,114
5840,Who's Watching Oliver,2018,18+,5.1,86%,87
5841,The Leading Man,1996,18+,5.7,69%,100
5842,Happy,2011,,7.2,,96
5843,The Berlin File,2013,,6.6,38%,120
5844,La Camioneta: The Journey of One American School Bus,2012,,6.7,100%,71
5845,Wind,1992,13+,6.4,50%,126
5846,The Dying of the Light,2015,,7.2,100%,94
5847,Sun Choke,2015,18+,5.6,88%,83
5848,The Icarus Line Must Die,2017,,6.2,100%,83
5849,Little Nemo: Adventures in Slumberland,1989,all,7.2,,85
5850,Athadu,2005,,8.2,,172
5851,Giuseppe Makes a Movie,2014,,7.8,100%,82
5852,Sarah Silverman: We Are Miracles,2013,18+,6.6,80%,53
5853,Hot Coffee,2011,,7.5,,88
5854,An Inspector Calls,2015,7+,7.7,,87
5855,Falcon Rising,2014,18+,5.8,43%,103
5856,Bridgend,2015,,5.5,85%,95
5857,From Time to Time,2010,7+,6.7,43%,92
5858,A Screaming Man,2010,,6.7,88%,92
5859,The Portrait of a Lady,1996,13+,6.2,45%,144
5860,Deepsea Challenge,2014,7+,6.8,67%,91
5861,The Joyless Street,1925,,7.2,75%,125
5862,Dangerous Liaisons,2012,,5.9,68%,119
5863,Very Semi-Serious,2015,,7.3,88%,83
5864,Witness Protection,1999,18+,6.2,60%,105
5865,The Man from Earth: Holocene,2017,13+,5.3,50%,98
5866,Blue Hawaii,1961,7+,6.1,29%,102
5867,For Ahkeem,2017,,6.5,96%,90
5868,Late Phases,2014,,6,63%,95
5869,Pu-239,2006,18+,6.9,57%,97
5870,Our Town,1940,,6.6,86%,90
5871,A Red Bear,2002,,7.2,60%,185
5872,Phantom Detective,2016,13+,6.3,83%,126
5873,Wheels on Meals,1984,13+,7.2,,108
5874,The Last Time I Saw Paris,1954,7+,6.2,88%,116
5875,Don't Talk to Irene,2017,16+,6.2,75%,90
5876,A Bad Idea Gone Wrong,2017,,5.8,80%,85
5877,Bottom of the 9th,2019,18+,5.5,69%,111
5878,Stop-Loss,2008,18+,6.4,65%,112
5879,Different for Girls,1996,18+,6.9,48%,97
5880,Absolutely Anything,2015,18+,6,18%,85
5881,Suture,1993,,6.6,69%,96
5882,Summer '03,2018,,5.4,61%,95
5883,Chopping Mall,1986,18+,5.6,56%,77
5884,Without Name,2017,,5.3,81%,96
5885,The Legend of Bhagat Singh,2002,,8.1,,155
5886,Felony,2014,18+,6.1,70%,105
5887,Elián,2017,7+,6.8,100%,108
5888,The Price We Pay,2014,,7.3,89%,93
5889,Bad Blood: The Movie,2017,16+,4.2,100%,80
5890,Red Lights,2012,18+,6.2,30%,114
5891,Calling All Earthlings,2018,,6.8,67%,74
5892,Test,2013,18+,6.5,81%,101
5893,Jungle Book,1942,,6.7,57%,104
5894,Twilight,1998,18+,6.2,60%,122
5895,Bravetown,2015,18+,6.2,25%,112
5896,The Creeping Flesh,1973,7+,6.3,80%,92
5897,Derailroaded,2005,,7.4,82%,86
5898,The Alibi,2006,18+,6.4,57%,90
5899,Infinity Baby,2017,13+,6.2,80%,80
5900,Bruce Lee: A Warrior's Journey,2000,7+,8.1,,100
5901,The Journey,2017,13+,6.6,69%,94
5902,Gogol Bordello Non-Stop,2009,,7.6,88%,90
5903,Bad Milo,2013,18+,5.6,62%,85
5904,Feast of Love,2007,18+,6.6,39%,97
5905,Under the Gun,2016,18+,5.5,100%,86
5906,George Carlin: Complaints & Grievances,2001,,8.5,,55
5907,Parked,2010,,6.7,64%,94
5908,The Chinese Mayor,2015,,7.7,80%,89
5909,Blackbird,2012,,7.1,57%,116
5910,Santoalla,2016,,6.9,85%,83
5911,Bhoothnath,2008,7+,6.3,60%,150
5912,No Tears for the Dead,2014,,6.8,33%,116
5913,Humanoids from the Deep,1980,18+,5.7,56%,80
5914,Lazy Eye,2016,,6.2,67%,87
5915,The Color Wheel,2011,,6.6,78%,83
5916,The Wait,2015,,6.6,70%,100
5917,Circo,2011,,7.1,92%,55
5918,Bang Gang (A Modern Love Story),2015,,5.5,67%,98
5919,Roja,1992,,8.2,,96
5920,Ae Dil Hai Mushkil,2016,13+,5.8,50%,158
5921,Made in Britain,1982,,7.3,,76
5922,George Carlin: Life Is Worth Losing,2005,18+,8.3,,75
5923,Zero Charisma,2013,,6.2,76%,86
5924,Coldwater,2013,,6.4,62%,104
5925,Letters to God,2010,7+,6.3,27%,110
5926,Keep the Aspidistra Flying,1997,13+,6.3,83%,101
5927,Rosenstrasse,2003,13+,6.7,55%,136
5928,A Turtle's Tale: Sammy's Adventures,2010,all,6.1,44%,88
5929,Peterloo,2018,13+,6.5,66%,154
5930,Vision – From the Life of Hildegard von Bingen,2009,,6.5,82%,110
5931,Song to Song,2017,18+,5.7,43%,129
5932,Nayakan,1987,,8.7,,145
5933,Padosan,1968,all,8.1,,157
5934,Halo 4: Forward Unto Dawn,2012,16+,6.9,,100
5935,At Middleton,2013,18+,6.5,61%,99
5936,Bill Frisell: A Portrait,2017,18+,7.2,88%,118
5937,Flashbacks of a Fool,2008,18+,6.8,38%,109
5938,Fat Man and Little Boy,1989,13+,6.5,47%,127
5939,Bhaji on the Beach,1993,18+,6.3,89%,101
5940,The Good Son,2013,,7.7,82%,87
5941,Trucker,2008,18+,6.7,59%,97
5942,BMX Bandits,1983,7+,5.5,67%,88
5943,In the Electric Mist,2009,18+,6.1,58%,117
5944,Manhunt: The Inside Story of the Hunt for Bin Laden,2013,16+,6.9,57%,102
5945,Hands of the Ripper,1971,18+,6.2,86%,85
5946,Hey Ram,2000,,7.9,,186
5947,Saathiya,2002,,6.8,,22
5948,Demon House,2018,16+,5.2,45%,111
5949,Beautiful Losers,2008,,7.1,62%,90
5950,The Bedroom Window,1987,18+,6.4,76%,112
5951,A Bottle in the Gaza Sea,2011,,7.2,69%,100
5952,Mystic India,2005,,7.7,86%,40
5953,The Cheap Detective,1978,7+,6.5,47%,92
5954,Alex of Venice,2015,18+,5.8,74%,86
5955,Plan 9 from Outer Space,1959,,4,67%,79
5956,Jim Gaffigan: Quality Time,2019,,7.6,100%,75
5957,Kurt & Courtney,1998,18+,6.1,62%,95
5958,Loving Pablo,2017,18+,6.3,31%,123
5959,Tumbleweeds,1925,all,6.5,100%,102
5960,Bone,1972,18+,6.8,67%,95
5961,People of a Feather,2012,,8.1,86%,90
5962,Destination Moon,1950,,6.3,64%,92
5963,Runoff,2015,18+,5.8,83%,126
5964,The Slumber Party Massacre,1982,18+,5.7,40%,77
5965,Shy People,1987,18+,6.8,64%,118
5966,Félicité,2017,,6.5,96%,129
5967,Into Temptation,2009,18+,6.5,80%,95
5968,Late Night Shopping,2001,,6.9,60%,91
5969,The Quiet,2005,18+,6.2,21%,96
5970,I Think We're Alone Now,2008,18+,6.8,75%,93
5971,Zombeavers,2014,18+,4.8,69%,77
5972,Little Italy,2018,7+,5.7,16%,102
5973,Prescription Thugs,2016,13+,7,69%,86
5974,The Two Faces of Dr. Jekyll,1960,,6.3,80%,88
5975,The Returned,2013,,5.9,58%,52
5976,Street Fighter II: The Animated Movie,1994,13+,7.3,,102
5977,24 Days,2014,,6.3,79%,110
5978,a/k/a Tommy Chong,2006,,7.3,73%,80
5979,Edie,2018,,6.5,63%,90
5980,Sun Don't Shine,2012,,6,90%,90
5981,Lisa and the Devil,1973,18+,6.4,62%,95
5982,The Moo Man,2013,,7.1,83%,98
5983,Harmony and Me,2010,,6.1,93%,75
5984,Charlie Countryman,2013,18+,6.4,27%,103
5985,Ghosts of Cité Soleil,2006,,7.1,77%,85
5986,Being Ginger,2013,,6,92%,69
5987,My Date with Drew,2005,7+,6.4,71%,90
5988,23 Blast,2014,13+,6.5,36%,98
5989,Fortress of War,2010,,7.5,,138
5990,"Liza, the Fox-Fairy",2015,,7.6,,98
5991,200 Pounds Beauty,2006,,6.8,,120
5992,Free China: The Courage to Believe,2013,,7.5,100%,61
5993,Escape from Sobibor,1987,,7.4,,143
